text,label
Things are hectic but I have a plan and feel somewhat in control,moderate_stress
Feeling the usual work stress but managing to stay focused today,moderate_stress
I am a little stressed about money this month but it is manageable,moderate_stress
The kids have been difficult lately which adds some pressure,moderate_stress
I have a few meetings this week that are making me slightly nervous,moderate_stress
There is moderate tension at work but it is nothing I cannot handle,moderate_stress
I feel a bit worn out from this week but will recover over the weekend,moderate_stress
Some uncertainty about a project outcome is causing mild worry,moderate_stress
I am slightly behind schedule but confident I can catch up,moderate_stress
My workload is heavier than usual but I am pacing myself through it,moderate_stress
There are some family concerns on my mind but nothing too alarming,moderate_stress
I feel moderate pressure from my studies but am keeping up fine,moderate_stress
Work stress is present but I am taking regular breaks and managing,moderate_stress
I had a disagreement with a colleague and it left me a bit unsettled,moderate_stress
The upcoming performance review is causing me some anxiety,moderate_stress
I feel a bit tense about a social event this weekend but it is fine,moderate_stress
My finances are a bit tight this month which causes some worry,moderate_stress
There is some friction at home but we are communicating and managing,moderate_stress
I feel the pressure of multiple responsibilities but I am on top of things,moderate_stress
I have a challenging week ahead but I feel mostly prepared for it,moderate_stress
Feeling a mild knot of worry in my stomach but nothing overwhelming,moderate_stress
The news lately has been stressful but I try not to dwell on it,moderate_stress
There is a moderate amount of work stress but I manage with routine,moderate_stress
I feel a bit anxious before important calls but I handle them okay,moderate_stress
My schedule is very full this week but I have it planned out well,moderate_stress
I feel mildly stressed about a health appointment coming up soon,moderate_stress
Work deadlines cause me some tension but I know I will meet them,moderate_stress
Some personal decisions I need to make are weighing on me slightly,moderate_stress
I feel somewhat pressured but talking to my partner helps a lot,moderate_stress
I have a moderate level of stress but it motivates me to stay focused,moderate_stress
I feel calm and at peace with where my life is right now,no_stress
Today was a great day and I feel completely relaxed tonight,no_stress
I finished all my tasks and feel very satisfied and content,no_stress
Spent a lovely weekend with family feeling refreshed today,no_stress
I went for a walk in the park and feel totally at ease,no_stress
Everything is going well and I have nothing to worry about,no_stress
I slept wonderfully and woke up feeling energized and happy,no_stress
Life feels balanced right now and I am enjoying every moment,no_stress
I completed the project ahead of time and feel proud of myself,no_stress
Had a relaxing holiday and feel completely recharged now,no_stress
I feel grateful and happy with how things are going lately,no_stress
Spent the evening reading and feel totally calm and peaceful,no_stress
Work is steady and manageable and I enjoy what I do daily,no_stress
I feel confident and clear-headed about everything right now,no_stress
My relationships are strong and I feel loved and supported,no_stress
I meditated this morning and feel centred and focused today,no_stress
Everything feels under control and I am in a great headspace,no_stress
I had a wonderful productive day and feel very accomplished,no_stress
Feeling joyful and optimistic about what lies ahead for me,no_stress
Life is good and I feel content happy and completely stress-free,no_stress
I woke up early feeling refreshed and genuinely excited about the day,no_stress
My mind is quiet and I feel a deep sense of calm and ease,no_stress
I spent quality time with friends and feel genuinely happy inside,no_stress
The weekend was restful and I feel restored and ready for the week,no_stress
I feel light and free with no burdens weighing me down today,no_stress
Everything in my life feels aligned and I feel deeply satisfied,no_stress
I had a peaceful morning routine and feel totally grounded today,no_stress
I feel no pressure or urgency and it is wonderfully refreshing,no_stress
I am enjoying a slow easy day and feel perfectly content and fine,no_stress
My sleep was deep and restful and I feel clear and sharp today,no_stress
I feel zero anxiety today just a steady sense of happiness and peace,no_stress
I finished everything on my list and feel accomplished and relaxed,no_stress
I am at a comfortable pace in life and feel steady and content,no_stress
I feel healthy energized and genuinely optimistic about my future,no_stress
I am living in a good flow state where everything feels effortless,no_stress
I had a beautiful day outdoors and feel refreshed and recharged,no_stress
I feel proud of how much I have grown and how peaceful I feel now,no_stress
There is nothing troubling my mind and I feel wonderfully free,no_stress
I spent the morning doing things I love and feel deeply nourished,no_stress
My heart feels light and my mind is clear and I feel amazing today,no_stress
I feel truly at ease in my body and mind and I am deeply grateful,no_stress
I wake up looking forward to the day with no dread or anxiety,no_stress
I feel so comfortable and secure in my life right now it is great,no_stress
Everything is peaceful at home and I feel warm and loved daily,no_stress
I am not worried about anything and I feel an inner stillness today,no_stress
I feel well rested and genuinely excited about my plans for today,no_stress
I have a wonderful sense of peace and clarity that carries through my day,no_stress
I feel balanced in work and personal life and am thoroughly enjoying it,no_stress
I am grateful for a quiet evening that left me feeling fully restored,no_stress
Today I feel nothing but contentment and a gentle sense of happiness,no_stress
I feel tense but I am using breathing exercises to manage it,coping
Despite the pressure I am staying organized and pushing through,coping
I am stressed but talking to friends is really helping me cope,coping
Things are hard right now but I am taking it one step at a time,coping
I feel anxious but I have been journaling and it is helping a lot,coping
Work is stressful but my team is supportive and we manage together,coping
I am overwhelmed but I created a schedule to tackle everything,coping
Feeling pressure but exercise is helping me stay grounded today,coping
I am worried but I remind myself I have handled worse before,coping
The situation is tough but I am actively working to improve it,coping
I feel stressed but my therapist is helping me manage better,coping
Things are difficult but I am focused on what I can control only,coping
I get anxious sometimes but mindfulness helps me a lot lately,coping
I am under pressure but I break tasks into small steps daily,coping
Feeling the strain but I make sure to rest and recharge often,coping
I have stressors in my life but I cope by staying active daily,coping
It has been a challenging period but I am learning and growing,coping
I feel stressed at times but I practice gratitude every morning,coping
The workload is heavy but I delegate and ask for help when needed,coping
I face stress daily but strong routines keep me stable and calm,coping
I am not great right now but I am using coping strategies to manage,coping
Stress is present but I do not let it control me or my actions,coping
I am finding the situation difficult but therapy is helping a lot,coping
I feel the weight of pressure but I consciously choose to breathe through it,coping
Challenging times but I am staying connected with my support system,coping
I acknowledge my anxiety and then I let it pass rather than fight it,coping
I am struggling but I set boundaries to protect my mental health,coping
It is hard but I remind myself that this phase is temporary too,coping
I cope with stress by cooking and spending time in nature outside,coping
I feel the tension rising but I pause and do a quick meditation,coping
I am not at my best but I am actively doing things to feel better,coping
Hard week but I allowed myself time to rest and now feel steadier,coping
I cope by calling my mom when things feel like too much for me,coping
I feel the anxiety but I channel it into productive focused work,coping
Things are stressful but I am using my tools and staying resilient,coping
I am learning to say no to reduce my overwhelm and it is working,coping
I am stressed but I know exactly what I need to do to get through this,coping
I am managing the pressure by being disciplined about my sleep,coping
I feel anxious at times but deep breathing resets me really quickly,coping
I take each challenge as it comes and I do not borrow future worry,coping
I feel strain in my life but I use art and music to release tension,coping
Despite difficulties I show up daily and take pride in my resilience,coping
I notice stress signals in my body and take action before it escalates,coping
Things pile up sometimes but I use a priority list to regain control,coping
I am not okay all the time but I know how to take care of myself,coping
I face difficult emotions but I sit with them rather than suppress them,coping
I use a daily walk to clear my head and put things in perspective,coping
I am stressed about the future but I focus on just today and that helps,coping
I feel the pressure but strong friendships help me maintain balance,coping
I use humor and self-compassion to get through especially hard days,coping
I am physically exhausted and emotionally completely drained out,burnout
I feel nothing anymore work has lost all meaning for me lately,burnout
I dread waking up every morning because of work and responsibilities,burnout
I used to love my job but now I feel completely detached from it,burnout
I have no energy left to give anything or anyone right now,burnout
I feel empty inside like I have nothing left to offer anyone,burnout
Every small task feels like climbing a mountain these days,burnout
I cannot remember the last time I felt genuinely happy or excited,burnout
I am running on empty and nothing feels rewarding anymore at all,burnout
I feel like a machine just going through the motions every day,burnout
I have completely lost motivation for things I used to enjoy,burnout
I feel disconnected from everyone around me and deeply isolated,burnout
No matter how much I sleep I still wake up feeling utterly exhausted,burnout
I have stopped caring about the quality of my work entirely,burnout
I feel numb and indifferent to everything happening around me,burnout
I push through each day mechanically with zero sense of purpose,burnout
My passion and enthusiasm have completely disappeared lately,burnout
I feel like a shell of the person I used to be before all this,burnout
I am so burned out that even small decisions feel impossible now,burnout
I have given everything I had and now there is simply nothing left,burnout
I feel chronically exhausted in a way that sleep does not fix at all,burnout
I used to care deeply about my performance but now I feel nothing,burnout
I go through the motions at work but feel dead inside while doing it,burnout
I have become cynical about everything that used to inspire me,burnout
I dread every single day of the week including weekends now,burnout
I feel like I am just existing rather than truly living my life,burnout
My sense of identity has completely eroded from years of overwork,burnout
I stopped socializing because I have no emotional energy left,burnout
I feel totally hollow and I do not know how to feel human again,burnout
I have hit a wall and cannot move forward no matter how I try,burnout
I am so depleted that kindness and support feel impossible to receive,burnout
I used to have goals and dreams but now nothing matters to me,burnout
I wake up already counting down until I can go back to sleep again,burnout
The thought of doing my job makes me want to disappear completely,burnout
I feel like a ghost drifting through my own life with no purpose,burnout
Every single day feels the same endless and meaningless grey blur,burnout
I no longer take pride in my work because nothing feels worth it,burnout
I have stopped seeing the point in most things I do each day,burnout
I feel utterly spent and the thought of doing anything exhausts me,burnout
I have lost all sense of meaning and my emotional responses are flat,burnout
People around me notice I seem different but I cannot explain why,burnout
I used to love weekends but now they just feel like a short pause,burnout
I feel invisible and irrelevant and profoundly alone in the world,burnout
I have become apathetic about my health relationships and future,burnout
I cannot feel joy even when objectively good things happen to me,burnout
I am so deeply burned out that crying would feel like a relief,burnout
I have emotionally withdrawn from my family because I have nothing left,burnout
I feel like I am watching my own life from a great distance away,burnout
I lost count of how many times I have thought about quitting everything,burnout
I exist but I do not feel alive and I do not remember what joy felt like,burnout
